PMG_PM3_GT1_MBA_MW,PHUMY.MFI.PMG_PM3_GT1_MBA_MW,1
PMG_PM3_GT1_MW,PHUMY.MFI.PMG_PM3_GT1_MW,1
PMG_PM3_GT2_MBA_MW,PHUMY.MFI.PMG_PM3_GT2_MBA_MW,1
PMG_PM3_GT2_MW,PHUMY.MFI.PMG_PM3_GT2_MW,1
PMG_PM3_ST3_MBA_MW,PHUMY.MFI.PMG_PM3_ST3_MBA_MW,1
PMG_PM3_ST3_MW,PHUMY.MFI.PMG_PM3_ST3_MW,1
PMG_PM4_LINE1_MW,PHUMY.MFI.PMG_PM4_LINE1_MW,1
PMG_PM4_LINE2_MW,PHUMY.MFI.PMG_PM4_LINE2_MW,1
PMG_ST14_MBA_MW,PHUMY.MFI.PMG_ST14_MBA_MW,1
PMG_ST14_MW,PHUMY.MFI.PMG_ST14_MW,1
PMG_ST23_MBA_MW,PHUMY.MFI.PMG_ST23_MBA_MW,1
PMG_ST23_MW,PHUMY.MFI.PMG_ST23_MW,1
PMG_ST26_MBA_MW,PHUMY.MFI.PMG_ST26_MBA_MW,1
PMG_ST26_MW,PHUMY.MFI.PMG_ST26_MW,1
PMG_ST43_MW,PHUMY.MFI.PMG_ST43_MW,1
PMG_T5_MW,PHUMY.MFI.PMG_T5_MW,1
PMG_T6_MW,PHUMY.MFI.PMG_T6_MW,1
PMG_T7_MW,PHUMY.MFI.PMG_T7_MW,1
PMG_T8_MW,PHUMY.MFI.PMG_T8_MW,1
BK171_171_171_KW,BUONKUOP.MFI.BK171_171_171_KW,0.001
BK171_171_171_KVAr,BUONKUOP.MFI.BK171_171_171_KVAr,0.001
BK171_171_171_UAB,BUONKUOP.MFI.BK171_171_171_UAB,1
BK171_171_171_IA,BUONKUOP.MFI.BK171_171_171_IA,1
BK172_172_172_KW,BUONKUOP.MFI.BK172_172_172_KW,0.001
BK172_172_172_KVAr,BUONKUOP.MFI.BK172_172_172_KVAr,0.001
BK172_172_172_UAB,BUONKUOP.MFI.BK172_172_172_UAB,1
BK172_172_172_IA,BUONKUOP.MFI.BK172_172_172_IA,1
BK901_901_H1_KW,BUONKUOP.MFI.BK901_901_H1_KW,0.001
BK901_901_H1_KVAr,BUONKUOP.MFI.BK901_901_H1_KVAr,0.001
BK901_902_H2_KW,BUONKUOP.MFI.BK901_902_H2_KW,0.001
BK901_902_H2_KVAr,BUONKUOP.MFI.BK901_902_H2_KVAr,0.001
BK271_271_271_KW,BUONKUOP.MFI.BK271_271_271_KW,0.001
BK271_271_271_KVAr,BUONKUOP.MFI.BK271_271_271_KVAr,0.001
BK271_271_271_IA,BUONKUOP.MFI.BK271_271_271_IA,1
BK271_271_271_IB,BUONKUOP.MFI.BK271_271_271_IB,1
BK271_271_271_IC,BUONKUOP.MFI.BK271_271_271_IC,1
BK271_271_271_UAB,BUONKUOP.MFI.BK271_271_271_UAB,1
BK271_271_271_UBC,BUONKUOP.MFI.BK271_271_271_UBC,1
BK271_271_271_UCA,BUONKUOP.MFI.BK271_271_271_UCA,1
BK272_272_272_KW,BUONKUOP.MFI.BK272_272_272_KW,0.001
BK272_272_272_KVAr,BUONKUOP.MFI.BK272_272_272_KVAr,0.001
BK272_272_272_IA,BUONKUOP.MFI.BK272_272_272_IA,1
BK272_272_272_IB,BUONKUOP.MFI.BK272_272_272_IB,1
BK272_272_272_IC,BUONKUOP.MFI.BK272_272_272_IC,1
BK272_272_272_UAB,BUONKUOP.MFI.BK272_272_272_UAB,1
BK272_272_272_UBC,BUONKUOP.MFI.BK272_272_272_UBC,1
BK272_272_272_UCA,BUONKUOP.MFI.BK272_272_272_UCA,1
BK273_273_273_KW,BUONKUOP.MFI.BK273_273_273_KW,0.001
BK273_273_273_KVAr,BUONKUOP.MFI.BK273_273_273_KVAr,0.001
BK273_273_273_IA,BUONKUOP.MFI.BK273_273_273_IA,1
BK273_273_273_IB,BUONKUOP.MFI.BK273_273_273_IB,1
BK273_273_273_IC,BUONKUOP.MFI.BK273_273_273_IC,1
BK273_273_273_UAB,BUONKUOP.MFI.BK273_273_273_UAB,1
BK273_273_273_UBC,BUONKUOP.MFI.BK273_273_273_UBC,1
BK273_273_273_UCA,BUONKUOP.MFI.BK273_273_273_UCA,1
BK273_274_274_KW,BUONKUOP.MFI.BK273_274_274_KW,1
BK273_274_274_KVAr,BUONKUOP.MFI.BK273_274_274_KVAr,1
BK273_274_274_IA,BUONKUOP.MFI.BK273_274_274_IA,1
BK273_274_274_IB,BUONKUOP.MFI.BK273_274_274_IB,0.001
BK273_274_274_IC,BUONKUOP.MFI.BK273_274_274_IC,0.001
BK273_274_274_UAB,BUONKUOP.MFI.BK273_274_274_UAB,1
BK273_274_274_UBC,BUONKUOP.MFI.BK273_274_274_UBC,1
BK273_274_274_UCA,BUONKUOP.MFI.BK273_274_274_UCA,1
BTS_DN_DZ272_DN_KW,BUONKUOP.MFI.BTS_DN_DZ272_DN_KW,0.001
BTS_DN_DZ272_DN_KVAr,BUONKUOP.MFI.BTS_DN_DZ272_DN_KVAr,0.001
BTS_DN_DZ272_DN_IA,BUONKUOP.MFI.BTS_DN_DZ272_DN_IA,1
BTS_DN_DZ272_DN_IB,BUONKUOP.MFI.BTS_DN_DZ272_DN_IB,1
BTS_DN_DZ272_DN_IC,BUONKUOP.MFI.BTS_DN_DZ272_DN_IC,1
BTS_DN_DZ272_DN_UAB,BUONKUOP.MFI.BTS_DN_DZ272_DN_UAB,1
BTS_DN_DZ272_DN_UBC,BUONKUOP.MFI.BTS_DN_DZ272_DN_UBC,1
BTS_DN_DZ272_DN_UCA,BUONKUOP.MFI.BTS_DN_DZ272_DN_UCA,1
BTS_BK_DZ274_BK_KW,BUONKUOP.MFI.BTS_BK_DZ274_BK_KW,0.001
